nodo,nombre_nodo,grunnkretsnummer,grunnkretsnavn,kommunenummer
kleppesto,Kleppestø (Askøy),46270705,Kollevåg,4627
kleppesto,Kleppestø (Askøy),46270104,Hop,4627
kleppesto,Kleppestø (Askøy),46270702,Ravnanger,4627
kleppesto,Kleppestø (Askøy),46270703,Tveit-Tveitevåg,4627
kleppesto,Kleppestø (Askøy),46270302,Florvåg,4627
kleppesto,Kleppestø (Askøy),46270201,Skogvik,4627
kleppesto,Kleppestø (Askøy),46270202,Nordre Erdal,4627
kleppesto,Kleppestø (Askøy),46270204,Åsen,4627
kleppesto,Kleppestø (Askøy),46270502,Strusshamn,4627
kleppesto,Kleppestø (Askøy),46270406,Juvik-Horsøy,4627
kleppesto,Kleppestø (Askøy),46270701,Haugland,4627
kleppesto,Kleppestø (Askøy),46270303,Florvågøy,4627
kleppesto,Kleppestø (Askøy),46270405,Nedre Kleppe,4627
kleppesto,Kleppestø (Askøy),46270205,Stenrusten-Vardane,4627
kleppesto,Kleppestø (Askøy),46270403,Myrane-øvre Kleppe,4627
kleppesto,Kleppestø (Askøy),46270503,Krokåsdalen,4627
kleppesto,Kleppestø (Askøy),46270404,Øvre Kleppe-Svingen,4627
kleppesto,Kleppestø (Askøy),46270602,Hetlevik,4627
kleppesto,Kleppestø (Askøy),46270501,Skarholmen-Strusshamn,4627
kleppesto,Kleppestø (Askøy),46270301,Bakarvågen,4627
kleppesto,Kleppestø (Askøy),46270203,Søndre Erdal,4627
kleppesto,Kleppestø (Askøy),46270105,Strømsnes,4627
kleppesto,Kleppestø (Askøy),46270505,Marikoven,4627
kleppesto,Kleppestø (Askøy),46270402,Kleppestø,4627
kleppesto,Kleppestø (Askøy),46270103,Ask,4627
kleppesto,Kleppestø (Askøy),46270504,Skiftesvik,4627
kleppesto,Kleppestø (Askøy),46270401,Strand-Solhola,4627
kleppesto,Kleppestø (Askøy),46270601,Follese,4627
bryggen,Bryggen / Sentrum,46010108,Nøstet,4601
bryggen,Bryggen / Sentrum,46010144,Johannes Bruns gate,4601
bryggen,Bryggen / Sentrum,46010133,Møhlenpris,4601
bryggen,Bryggen / Sentrum,46010625,Rotthaugen,4601
bryggen,Bryggen / Sentrum,46010140,Fredrik Meltzers gate,4601
bryggen,Bryggen / Sentrum,46010118,Bryggen,4601
bryggen,Bryggen / Sentrum,46010127,Betanien,4601
bryggen,Bryggen / Sentrum,46010624,Sandvikskirken,4601
bryggen,Bryggen / Sentrum,46010143,Marineholmen,4601
bryggen,Bryggen / Sentrum,46010123,Skansemyren,4601
bryggen,Bryggen / Sentrum,46010626,Absalon Beyers gate,4601
bryggen,Bryggen / Sentrum,46010138,Nygårdstangen,4601
bryggen,Bryggen / Sentrum,46010116,Torget,4601
bryggen,Bryggen / Sentrum,46010121,Skanselien,4601
bryggen,Bryggen / Sentrum,46010128,Marken,4601
bryggen,Bryggen / Sentrum,46010119,Steinkjelleren,4601
bryggen,Bryggen / Sentrum,46010102,Sliberget,4601
bryggen,Bryggen / Sentrum,46010505,Ole Irgens vei,4601
bryggen,Bryggen / Sentrum,46010107,Knøsesmauet,4601
bryggen,Bryggen / Sentrum,46010634,Dreggen,4601
bryggen,Bryggen / Sentrum,46010124,Endregården,4601
bryggen,Bryggen / Sentrum,46010129,Torgalmenningen,4601
bryggen,Bryggen / Sentrum,46010110,Sydnes,4601
bryggen,Bryggen / Sentrum,46010631,Baglergaten,4601
bryggen,Bryggen / Sentrum,46010112,Sydneshaugen,4601
bryggen,Bryggen / Sentrum,46010146,Fløyfjellet,4601
bryggen,Bryggen / Sentrum,46010633,Stølen,4601
bryggen,Bryggen / Sentrum,46010113,Rosenbergsgaten,4601
bryggen,Bryggen / Sentrum,46010504,Bellevue,4601
bryggen,Bryggen / Sentrum,46010125,Domkirken,4601
bryggen,Bryggen / Sentrum,46010114,Engen,4601
bryggen,Bryggen / Sentrum,46010122,Skansen,4601
bryggen,Bryggen / Sentrum,46010627,Mathismarken,4601
bryggen,Bryggen / Sentrum,46010135,Nygårdshøyden,4601
bryggen,Bryggen / Sentrum,46010136,Grieghallen,4601
bryggen,Bryggen / Sentrum,46010111,Dokken,4601
bryggen,Bryggen / Sentrum,46010103,Tollbuen,4601
bryggen,Bryggen / Sentrum,46010139,Jonas Reins gate,4601
bryggen,Bryggen / Sentrum,46010502,Kalfarlien,4601
bryggen,Bryggen / Sentrum,46010101,Nordnes,4601
bryggen,Bryggen / Sentrum,46010636,Skoltegrunnskaien,4601
bryggen,Bryggen / Sentrum,46010120,Wesselengen,4601
bryggen,Bryggen / Sentrum,46010104,Fredriksberg,4601
bryggen,Bryggen / Sentrum,46010109,Jonsvollen,4601
bryggen,Bryggen / Sentrum,46010506,Nystuen,4601
bryggen,Bryggen / Sentrum,46010147,Kalmaren,4601
bryggen,Bryggen / Sentrum,46010132,Museet,4601
bryggen,Bryggen / Sentrum,46010501,Starefossen,4601
bryggen,Bryggen / Sentrum,46010134,Tullinsgate,4601
bryggen,Bryggen / Sentrum,46010630,Ladegården,4601
bryggen,Bryggen / Sentrum,46010115,Strandkaien,4601
bryggen,Bryggen / Sentrum,46010106,Klosteret,4601
bryggen,Bryggen / Sentrum,46010621,Rosegrenden,4601
bryggen,Bryggen / Sentrum,46010126,Dankert Krohn,4601
bryggen,Bryggen / Sentrum,46010145,Florida,4601
bryggen,Bryggen / Sentrum,46010117,Vetrlidsallmenningen,4601
bryggen,Bryggen / Sentrum,46010515,Svartediket,4601
bryggen,Bryggen / Sentrum,46010142,Stormsgate,4601
bryggen,Bryggen / Sentrum,46010629,Krohnengen,4601
bryggen,Bryggen / Sentrum,46010632,Skuteviken,4601
bryggen,Bryggen / Sentrum,46010137,Jernbanen,4601
bryggen,Bryggen / Sentrum,46010141,Nygårdsparken,4601
bryggen,Bryggen / Sentrum,46010635,Bergenhus,4601
bryggen,Bryggen / Sentrum,46010105,Nykirken,4601
bryggen,Bryggen / Sentrum,46010503,Seiersbjerget,4601
bryggen,Bryggen / Sentrum,46010131,Vestre Torvgate,4601
bryggen,Bryggen / Sentrum,46010130,Vaskerelven,4601
laksevag,Laksevåg (Gravdal),46012004,Frydenbø,4601
laksevag,Laksevåg (Gravdal),46012011,Nygårdslien,4601
laksevag,Laksevåg (Gravdal),46012012,Gravdal,4601
laksevag,Laksevåg (Gravdal),46010202,Stranden,4601
laksevag,Laksevåg (Gravdal),46010201,Gyldenpris,4601
laksevag,Laksevåg (Gravdal),46012008,Laksevågneset,4601
laksevag,Laksevåg (Gravdal),46012007,Lille Damsgård,4601
laksevag,Laksevåg (Gravdal),46012001,Melkeplassen,4601
laksevag,Laksevåg (Gravdal),46010229,Løvstakksiden,4601
laksevag,Laksevåg (Gravdal),46012002,Solhaugveien,4601
laksevag,Laksevåg (Gravdal),46012009,Kringsjå,4601
laksevag,Laksevåg (Gravdal),46012010,Nygårdsvik,4601
laksevag,Laksevåg (Gravdal),46012005,Store Damsgård,4601
laksevag,Laksevåg (Gravdal),46010203,Strandlien,4601
laksevag,Laksevåg (Gravdal),46012006,Laksevåg sentrum,4601
laksevag,Laksevåg (Gravdal),46011801,Øvre Fyllingen,4601
laksevag,Laksevåg (Gravdal),46012003,Øvre Damsgård,4601
laksevag,Laksevåg (Gravdal),46012014,Damsgårdsfjellet,4601
sandviken,Sandviken (BSI Padling),46010606,Solbakken,4601
sandviken,Sandviken (BSI Padling),46010603,Hellefjellet,4601
sandviken,Sandviken (BSI Padling),46010601,Lønborg,4601
sandviken,Sandviken (BSI Padling),46010616,Munkebotn,4601
sandviken,Sandviken (BSI Padling),46010611,Hatleberget,4601
sandviken,Sandviken (BSI Padling),46010610,Sølvberget,4601
sandviken,Sandviken (BSI Padling),46010604,Øyjordsåsen,4601
sandviken,Sandviken (BSI Padling),46010637,Sandviksfjellet,4601
sandviken,Sandviken (BSI Padling),46010602,Helleneset,4601
sandviken,Sandviken (BSI Padling),46010605,Eikeviken,4601
sandviken,Sandviken (BSI Padling),46010607,Øyjorden,4601
sandviken,Sandviken (BSI Padling),46010703,Eidsvågskogen,4601
sandviken,Sandviken (BSI Padling),46010608,Biskopshavn,4601
sandviken,Sandviken (BSI Padling),46010615,Neevengården,4601
sandviken,Sandviken (BSI Padling),46010613,Hegreneset,4601
sandviken,Sandviken (BSI Padling),46010701,Fagerdalshøgda,4601
sandviken,Sandviken (BSI Padling),46010704,Tømmervågen,4601
sandviken,Sandviken (BSI Padling),46010617,Måseskjæret,4601
sandviken,Sandviken (BSI Padling),46010609,Stemmemyren,4601
sandviken,Sandviken (BSI Padling),46010614,Nyhavn,4601
sandviken,Sandviken (BSI Padling),46010612,Handelshøyskolen,4601
