grupo_id,dia,franja,hora,minuto_dia,origen,destino,tamano_grupo,espera_maxima_min,conexion_fuerte,fin_de_semana
dia1_00129,dia1,manana,6,360.33,laksevag,bryggen,12,14.1,True,False
dia1_00035,dia1,manana,6,361.36,kleppesto,bryggen,10,18.3,True,False
dia1_00234,dia1,manana,6,361.79,bryggen,sandviken,4,17.3,True,False
dia1_00019,dia1,manana,6,361.85,kleppesto,bryggen,10,15.9,True,False
dia1_00128,dia1,manana,6,362.17,laksevag,bryggen,4,14.1,True,False
dia1_00141,dia1,manana,6,362.41,laksevag,bryggen,7,16.5,True,False
dia1_00130,dia1,manana,6,363.1,laksevag,bryggen,10,12.2,True,False
dia1_00135,dia1,manana,6,363.43,laksevag,bryggen,8,14.7,True,False
dia1_00025,dia1,manana,6,363.5,kleppesto,bryggen,7,14.9,True,False
dia1_00233,dia1,manana,6,364.69,bryggen,sandviken,7,11.7,True,False
dia1_00048,dia1,manana,6,365.26,kleppesto,bryggen,6,10.4,True,False
dia1_00036,dia1,manana,6,365.4,kleppesto,bryggen,8,19.0,True,False
dia1_00246,dia1,manana,6,365.64,sandviken,laksevag,6,33.6,False,False
dia1_00221,dia1,manana,6,366.72,bryggen,laksevag,11,10.0,True,False
dia1_00143,dia1,manana,6,367.5,laksevag,bryggen,10,17.9,True,False
dia1_00263,dia1,manana,6,367.87,sandviken,bryggen,4,11.4,True,False
dia1_00123,dia1,manana,6,368.58,laksevag,bryggen,10,12.8,True,False
dia1_00041,dia1,manana,6,369.14,kleppesto,bryggen,8,12.8,True,False
dia1_00148,dia1,manana,6,369.31,laksevag,bryggen,8,15.1,True,False
dia1_00039,dia1,manana,6,369.68,kleppesto,bryggen,10,11.1,True,False
dia1_00264,dia1,manana,6,369.77,sandviken,bryggen,8,13.0,True,False
dia1_00034,dia1,manana,6,370.02,kleppesto,bryggen,10,10.2,True,False
dia1_00150,dia1,manana,6,371.58,laksevag,bryggen,6,18.9,True,False
dia1_00260,dia1,manana,6,371.8,sandviken,bryggen,9,19.8,True,False
dia1_00125,dia1,manana,6,371.89,laksevag,bryggen,9,14.3,True,False
dia1_00142,dia1,manana,6,372.11,laksevag,bryggen,9,13.2,True,False
dia1_00102,dia1,manana,6,372.14,kleppesto,sandviken,6,32.3,False,False
dia1_00021,dia1,manana,6,372.88,kleppesto,bryggen,14,19.6,True,False
dia1_00007,dia1,manana,6,373.63,kleppesto,laksevag,12,34.7,False,False
dia1_00024,dia1,manana,6,374.04,kleppesto,bryggen,8,10.8,True,False
dia1_00133,dia1,manana,6,374.31,laksevag,bryggen,6,10.4,True,False
dia1_00122,dia1,manana,6,374.45,laksevag,bryggen,7,11.3,True,False
dia1_00026,dia1,manana,6,376.88,kleppesto,bryggen,5,14.9,True,False
dia1_00027,dia1,manana,6,377.62,kleppesto,bryggen,12,19.4,True,False
dia1_00045,dia1,manana,6,378.09,kleppesto,bryggen,6,11.1,True,False
dia1_00018,dia1,manana,6,378.24,kleppesto,bryggen,12,13.5,True,False
dia1_00253,dia1,manana,6,379.15,sandviken,bryggen,7,11.1,True,False
dia1_00047,dia1,manana,6,381.71,kleppesto,bryggen,9,12.3,True,False
dia1_00002,dia1,manana,6,382.25,kleppesto,laksevag,11,29.7,False,False
dia1_00261,dia1,manana,6,382.63,sandviken,bryggen,8,19.5,True,False
dia1_00044,dia1,manana,6,382.86,kleppesto,bryggen,7,17.7,True,False
dia1_00262,dia1,manana,6,383.65,sandviken,bryggen,7,10.7,True,False
