grupo_id,dia,franja,hora,minuto_dia,origen,destino,tamano_grupo,espera_maxima_min,conexion_fuerte,fin_de_semana
0_00134,0,manana,6,360.43,laksevag,bryggen,8,14.1,True,False
0_00144,0,manana,6,360.56,laksevag,bryggen,5,12.7,True,False
0_00145,0,manana,6,360.59,laksevag,bryggen,8,16.3,True,False
0_00260,0,manana,6,360.9,sandviken,bryggen,6,17.7,True,False
0_00114,0,manana,6,362.92,kleppesto,sandviken,9,34.7,False,False
0_00116,0,manana,6,364.28,kleppesto,sandviken,6,31.5,False,False
0_00272,0,manana,6,364.73,sandviken,bryggen,4,14.6,True,False
0_00007,0,manana,6,364.83,kleppesto,laksevag,11,31.3,False,False
0_00041,0,manana,6,365.4,kleppesto,bryggen,8,16.5,True,False
0_00265,0,manana,6,365.6,sandviken,bryggen,13,17.4,True,False
0_00270,0,manana,6,366.31,sandviken,bryggen,10,11.0,True,False
0_00154,0,manana,6,367.0,laksevag,bryggen,9,13.9,True,False
0_00216,0,manana,6,368.07,bryggen,kleppesto,11,12.4,True,False
0_00115,0,manana,6,368.16,kleppesto,sandviken,7,27.1,False,False
0_00217,0,manana,6,368.21,bryggen,kleppesto,6,12.4,True,False
0_00139,0,manana,6,369.75,laksevag,bryggen,12,15.9,True,False
0_00141,0,manana,6,369.89,laksevag,bryggen,11,18.4,True,False
0_00030,0,manana,6,370.21,kleppesto,bryggen,8,15.3,True,False
0_00003,0,manana,6,370.53,kleppesto,laksevag,9,30.6,False,False
0_00155,0,manana,6,373.99,laksevag,bryggen,10,18.0,True,False
0_00275,0,manana,6,374.23,sandviken,bryggen,8,15.1,True,False
0_00153,0,manana,6,374.26,laksevag,bryggen,6,14.6,True,False
0_00057,0,manana,6,374.84,kleppesto,bryggen,6,14.5,True,False
0_00004,0,manana,6,374.96,kleppesto,laksevag,6,32.2,False,False
0_00053,0,manana,6,376.15,kleppesto,bryggen,12,12.2,True,False
0_00036,0,manana,6,376.3,kleppesto,bryggen,10,15.7,True,False
0_00273,0,manana,6,376.37,sandviken,bryggen,7,19.1,True,False
0_00226,0,manana,6,377.11,bryggen,laksevag,9,16.8,True,False
0_00143,0,manana,6,377.13,laksevag,bryggen,11,12.4,True,False
0_00138,0,manana,6,378.02,laksevag,bryggen,7,12.3,True,False
0_00137,0,manana,6,380.82,laksevag,bryggen,9,11.8,True,False
0_00227,0,manana,6,382.16,bryggen,laksevag,12,14.5,True,False
0_00001,0,manana,6,383.0,kleppesto,laksevag,3,30.8,False,False
0_00263,0,manana,6,383.51,sandviken,bryggen,11,11.6,True,False
0_00147,0,manana,6,383.75,laksevag,bryggen,7,17.9,True,False
0_00259,0,manana,6,384.93,sandviken,bryggen,16,11.5,True,False
