franja,hora_inicio,hora_fin,origen,destino,rol_origen,rol_destino,peso_origen,peso_destino,tiempo_viaje_min,factor_distancia,factor_volumen_franja,intensidad
manana,6,9,kleppesto,laksevag,poblacion,empleo,0.9082144791478606,0.12632869208817726,5.331900217157437,0.7008509674511397,1.0,0.08041111761470049
manana,6,9,kleppesto,bryggen,poblacion,empleo,0.9082144791478606,1.0,11.5021948196763,0.4644910504485101,1.0,0.42185749745193624
manana,6,9,kleppesto,sandviken,poblacion,empleo,0.9082144791478606,0.07863941930170647,9.562427354077675,0.5286148643740898,1.0,0.03775444499039244
manana,6,9,laksevag,kleppesto,poblacion,empleo,0.5772161039898899,0.10122000268132457,5.331900217157426,0.7008509674511403,1.0,0.04094778938286871
manana,6,9,laksevag,bryggen,poblacion,empleo,0.5772161039898899,1.0,8.61150194232506,0.5632114582234178,1.0,0.3250947236381858
manana,6,9,laksevag,sandviken,poblacion,empleo,0.5772161039898899,0.07863941930170647,8.610586771546286,0.563245821582941,1.0,0.025566820104482874
manana,6,9,bryggen,kleppesto,poblacion,empleo,1.0,0.10122000268132457,11.502194819676484,0.46449105044850436,1.0,0.047015785371848876
manana,6,9,bryggen,laksevag,poblacion,empleo,1.0,0.12632869208817726,8.611501942325056,0.563211458223418,1.0,0.07114976688643948
manana,6,9,bryggen,sandviken,poblacion,empleo,1.0,0.07863941930170647,6.828871972711653,0.6342842180690489,1.0,0.04987974258118696
manana,6,9,sandviken,kleppesto,poblacion,empleo,0.40111933562014807,0.10122000268132457,9.562427354077712,0.5286148643740884,1.0,0.02146245081290858
manana,6,9,sandviken,laksevag,poblacion,empleo,0.40111933562014807,0.12632869208817726,8.610586771546286,0.563245821582941,1.0,0.028541288513446266
manana,6,9,sandviken,bryggen,poblacion,empleo,0.40111933562014807,1.0,6.828871972711657,0.6342842180690488,1.0,0.25442366414620193
valle,9,15,kleppesto,laksevag,mixta,mixta,0.5047172409145926,0.3517723980390336,5.331900217157437,0.7008509674511397,0.4,0.04977320057578
valle,9,15,kleppesto,bryggen,mixta,mixta,0.5047172409145926,1.0,11.5021948196763,0.4644910504485101,0.4,0.09377465656475714
valle,9,15,kleppesto,sandviken,mixta,mixta,0.5047172409145926,0.23987937746092727,9.562427354077675,0.5286148643740898,0.4,0.025600026554571144
valle,9,15,laksevag,kleppesto,mixta,mixta,0.3517723980390336,0.5047172409145926,5.331900217157426,0.7008509674511403,0.4,0.04977320057578004
valle,9,15,laksevag,bryggen,mixta,mixta,0.3517723980390336,1.0,8.61150194232506,0.5632114582234178,0.4,0.07924889810492508
valle,9,15,laksevag,sandviken,mixta,mixta,0.3517723980390336,0.23987937746092727,8.610586771546286,0.563245821582941,0.4,0.01901133621444874
valle,9,15,bryggen,kleppesto,mixta,mixta,1.0,0.5047172409145926,11.502194819676484,0.46449105044850436,0.4,0.09377465656475598
valle,9,15,bryggen,laksevag,mixta,mixta,1.0,0.3517723980390336,8.611501942325056,0.563211458223418,0.4,0.0792488981049251
valle,9,15,bryggen,sandviken,mixta,mixta,1.0,0.23987937746092727,6.828871972711653,0.6342842180690489,0.4,0.0608606813454778
valle,9,15,sandviken,kleppesto,mixta,mixta,0.23987937746092727,0.5047172409145926,9.562427354077712,0.5286148643740884,0.4,0.025600026554571078
valle,9,15,sandviken,laksevag,mixta,mixta,0.23987937746092727,0.3517723980390336,8.610586771546286,0.563245821582941,0.4,0.01901133621444874
valle,9,15,sandviken,bryggen,mixta,mixta,0.23987937746092727,1.0,6.828871972711657,0.6342842180690488,0.4,0.060860681345477785
tarde,15,18,kleppesto,laksevag,empleo,poblacion,0.10122000268132457,0.5772161039898899,5.331900217157437,0.7008509674511397,1.0,0.04094778938286867
