par,pct_atendidas_agente,espera_media_min_agente,sistema_medio_min_agente,pct_atendidas_base,espera_media_min_base,sistema_medio_min_base
kleppesto->laksevag,0.0,,,100.0,7.72599999999999,13.689999999999998
kleppesto->bryggen,32.587859424920126,12.245294117647061,24.29990196078431,80.83067092651757,16.99197628458498,24.912885375494067
kleppesto->sandviken,0.0,,,100.0,15.62749999999999,23.271136363636355
laksevag->kleppesto,0.0,,,100.0,25.339999999999975,58.76999999999998
laksevag->bryggen,60.204081632653065,9.362966101694916,20.019322033898302,85.71428571428571,23.139880952380956,28.29285714285714
laksevag->sandviken,0.0,,,60.0,27.129999999999995,37.129999999999995
bryggen->kleppesto,0.0,,,100.0,17.220000000000027,23.920000000000016
bryggen->laksevag,75.0,7.409999999999987,17.409999999999986,100.0,7.245499999999987,23.139999999999997
bryggen->sandviken,0.0,,,100.0,11.091111111111124,22.674444444444458
sandviken->kleppesto,0.0,,,100.0,16.18625000000002,26.18625000000002
sandviken->laksevag,0.0,,,100.0,14.12258064516129,24.332580645161283
sandviken->bryggen,0.0,,,95.03105590062111,10.634575163398697,25.09633986928105
