metrica,agente_ppo,politica_base,diferencia
unidades_generadas,850.0,850.0,0.0
unidades_atendidas,656.0,748.0,-92.0
unidades_sin_atender_al_final,194.0,102.0,92.0
pct_atendidas,77.17647058823529,88.0,-10.82352941176471
espera_media_min,20.458246951219515,16.419344919786095,4.03890203143342
sistema_medio_min,30.425,26.053236363636366,4.371763636363635
sistema_maximo_min,117.13,69.74000000000001,47.389999999999986
reward_total,-4806.997815432098,-2009.26222037037,-2797.735595061728
movimientos_totales,177.0,155.0,22.0
ocupacion_media,2.9725274725274726,3.4956043956043956,-0.523076923076923
