tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
decision,360.0,barco_0,esperar,,,,,,,
decision,360.0,barco_1,esperar,,,,,,,
decision,360.0,barco_2,esperar,,,,,,,
decision,362.0,barco_0,esperar,,,,,,,
decision,362.0,barco_1,esperar,,,,,,,
decision,362.0,barco_2,esperar,,,,,,,
decision,364.0,barco_0,esperar,,,,,,,
decision,364.0,barco_1,esperar,,,,,,,
decision,364.0,barco_2,esperar,,,,,,,
decision,366.0,barco_0,esperar,,,,,,,
decision,366.0,barco_1,esperar,,,,,,,
decision,366.0,barco_2,esperar,,,,,,,
decision,368.0,barco_0,esperar,,,,,,,
decision,368.0,barco_1,esperar,,,,,,,
decision,368.0,barco_2,esperar,,,,,,,
decision,370.0,barco_0,kleppesto,,,,,,,
movimiento,370.0,barco_0,,bryggen,kleppesto,0.0,,,,
decision,370.0,barco_1,kleppesto,,,,,,,
movimiento,370.0,barco_1,,bryggen,kleppesto,0.0,,,,
decision,370.0,barco_2,kleppesto,,,,,,,
movimiento,370.0,barco_2,,bryggen,kleppesto,0.0,,,,
decision,382.0,barco_0,bryggen,,,,,,,
sube,382.0,barco_0,,,,,escalon_2_00006_p0,"('kleppesto', 'bryggen')",12.740000000000009,
sube,382.0,barco_0,,,,,escalon_2_00006_p1,"('kleppesto', 'bryggen')",12.740000000000009,
sube,382.0,barco_0,,,,,escalon_2_00006_p2,"('kleppesto', 'bryggen')",12.740000000000009,
sube,382.0,barco_0,,,,,escalon_2_00006_p3,"('kleppesto', 'bryggen')",12.740000000000009,
sube,382.0,barco_0,,,,,escalon_2_00006_p4,"('kleppesto', 'bryggen')",12.740000000000009,
sube,382.0,barco_0,,,,,escalon_2_00006_p5,"('kleppesto', 'bryggen')",12.740000000000009,
sube,382.0,barco_0,,,,,escalon_2_00006_p6,"('kleppesto', 'bryggen')",12.740000000000009,
movimiento,382.0,barco_0,,kleppesto,bryggen,7.0,,,,
decision,382.0,barco_1,sandviken,,,,,,,
movimiento,382.0,barco_1,,kleppesto,sandviken,0.0,,,,
decision,382.0,barco_2,sandviken,,,,,,,
movimiento,382.0,barco_2,,kleppesto,sandviken,0.0,,,,
decision,392.0,barco_1,laksevag,,,,,,,
sube,392.0,barco_1,,,,,escalon_2_00035_p0,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p1,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p2,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p3,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p4,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p5,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p6,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p7,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p8,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p9,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p10,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p11,"('sandviken', 'laksevag')",12.970000000000027,
sube,392.0,barco_1,,,,,escalon_2_00035_p12,"('sandviken', 'laksevag')",12.970000000000027,
movimiento,392.0,barco_1,,sandviken,laksevag,13.0,,,,
decision,392.0,barco_2,bryggen,,,,,,,
sube,392.0,barco_2,,,,,escalon_2_00036_p0,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p1,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p2,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p3,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p4,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p5,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p6,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p7,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p8,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p9,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p10,"('sandviken', 'bryggen')",5.889999999999986,
sube,392.0,barco_2,,,,,escalon_2_00036_p11,"('sandviken', 'bryggen')",5.889999999999986,
movimiento,392.0,barco_2,,sandviken,bryggen,12.0,,,,
baja,394.0,barco_0,,,,,escalon_2_00006_p0,"('kleppesto', 'bryggen')",,12.0
baja,394.0,barco_0,,,,,escalon_2_00006_p1,"('kleppesto', 'bryggen')",,12.0
baja,394.0,barco_0,,,,,escalon_2_00006_p2,"('kleppesto', 'bryggen')",,12.0
baja,394.0,barco_0,,,,,escalon_2_00006_p3,"('kleppesto', 'bryggen')",,12.0
baja,394.0,barco_0,,,,,escalon_2_00006_p4,"('kleppesto', 'bryggen')",,12.0
baja,394.0,barco_0,,,,,escalon_2_00006_p5,"('kleppesto', 'bryggen')",,12.0
baja,394.0,barco_0,,,,,escalon_2_00006_p6,"('kleppesto', 'bryggen')",,12.0
decision,394.0,barco_0,laksevag,,,,,,,
movimiento,394.0,barco_0,,bryggen,laksevag,0.0,,,,
baja,400.0,barco_2,,,,,escalon_2_00036_p0,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p1,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p2,"('sandviken', 'bryggen')",,8.0
baja,400.0,barco_2,,,,,escalon_2_00036_p3,"('sandviken', 'bryggen')",,8.0
