grupo_id,dia,franja,hora,minuto_dia,origen,destino,tamano_grupo,espera_maxima_min,conexion_fuerte,fin_de_semana
0_00014,0,manana,6,362.49,laksevag,bryggen,8,16.1,True,False
0_00016,0,manana,6,364.05,laksevag,bryggen,5,14.8,True,False
0_00002,0,manana,6,370.51,kleppesto,laksevag,6,26.8,False,False
0_00027,0,manana,6,374.84,sandviken,bryggen,9,18.2,True,False
0_00015,0,manana,6,374.9,laksevag,bryggen,4,15.1,True,False
0_00006,0,manana,6,393.52,kleppesto,bryggen,7,16.1,True,False
0_00029,0,manana,6,396.43,sandviken,bryggen,5,19.0,True,False
0_00013,0,manana,6,399.13,laksevag,kleppesto,10,34.3,False,False
0_00007,0,manana,6,403.44,kleppesto,bryggen,9,17.6,True,False
0_00008,0,manana,6,406.58,kleppesto,bryggen,5,16.7,True,False
0_00028,0,manana,6,406.82,sandviken,bryggen,12,14.9,True,False
0_00012,0,manana,6,417.08,laksevag,kleppesto,12,34.8,False,False
0_00001,0,manana,6,417.28,kleppesto,laksevag,10,30.8,False,False
0_00003,0,manana,6,419.8,kleppesto,laksevag,8,27.5,False,False
0_00022,0,manana,7,423.25,bryggen,kleppesto,14,10.4,True,False
0_00017,0,manana,7,424.29,laksevag,bryggen,6,14.5,True,False
0_00004,0,manana,7,424.83,kleppesto,laksevag,13,25.1,False,False
0_00019,0,manana,7,453.72,laksevag,bryggen,8,16.6,True,False
0_00018,0,manana,7,464.01,laksevag,bryggen,8,15.1,True,False
0_00030,0,manana,7,471.29,sandviken,bryggen,11,16.5,True,False
0_00023,0,manana,7,475.65,bryggen,kleppesto,11,18.3,True,False
0_00026,0,manana,7,478.47,sandviken,laksevag,10,31.3,False,False
0_00031,0,manana,8,481.21,sandviken,bryggen,7,14.0,True,False
0_00011,0,manana,8,488.15,kleppesto,bryggen,7,15.1,True,False
0_00005,0,manana,8,489.67,kleppesto,laksevag,8,33.1,False,False
0_00021,0,manana,8,502.36,laksevag,bryggen,9,14.2,True,False
0_00033,0,manana,8,502.95,sandviken,bryggen,3,14.6,True,False
0_00024,0,manana,8,505.9,bryggen,laksevag,8,17.3,True,False
0_00034,0,manana,8,505.94,sandviken,bryggen,3,19.1,True,False
0_00010,0,manana,8,517.26,kleppesto,bryggen,11,10.8,True,False
0_00020,0,manana,8,521.67,laksevag,bryggen,4,18.6,True,False
0_00032,0,manana,8,523.85,sandviken,bryggen,9,10.7,True,False
0_00009,0,manana,8,532.94,kleppesto,bryggen,10,10.4,True,False
0_00025,0,manana,8,536.2,bryggen,sandviken,5,17.8,True,False
0_00036,0,valle,9,553.64,kleppesto,bryggen,12,12.7,True,False
0_00059,0,valle,9,573.96,sandviken,kleppesto,8,30.3,False,False
0_00044,0,valle,9,591.13,laksevag,bryggen,9,10.8,True,False
0_00037,0,valle,10,612.17,kleppesto,bryggen,8,13.4,True,False
0_00040,0,valle,10,617.01,laksevag,kleppesto,10,32.9,False,False
0_00048,0,valle,10,623.12,laksevag,sandviken,9,26.0,False,False
0_00054,0,valle,10,623.3,bryggen,laksevag,8,14.9,True,False
0_00049,0,valle,10,623.54,bryggen,kleppesto,8,18.7,True,False
0_00052,0,valle,10,634.63,bryggen,laksevag,5,10.8,True,False
0_00053,0,valle,10,638.03,bryggen,laksevag,12,11.2,True,False
0_00057,0,valle,10,648.95,bryggen,sandviken,11,17.5,True,False
0_00045,0,valle,10,651.26,laksevag,bryggen,12,16.6,True,False
0_00041,0,valle,10,656.3,laksevag,kleppesto,8,27.9,False,False
0_00056,0,valle,11,663.53,bryggen,laksevag,16,14.2,True,False
0_00060,0,valle,11,666.64,sandviken,kleppesto,9,32.6,False,False
0_00058,0,valle,11,679.85,bryggen,sandviken,6,13.5,True,False
0_00055,0,valle,11,695.19,bryggen,laksevag,9,18.0,True,False
0_00046,0,valle,11,718.99,laksevag,bryggen,7,16.3,True,False
0_00038,0,valle,12,726.37,kleppesto,bryggen,9,12.3,True,False
0_00061,0,valle,12,741.54,sandviken,bryggen,5,13.5,True,False
0_00063,0,valle,13,784.03,sandviken,bryggen,16,17.7,True,False
0_00062,0,valle,13,812.43,sandviken,bryggen,8,17.2,True,False
0_00039,0,valle,13,825.36,kleppesto,bryggen,13,16.1,True,False
0_00035,0,valle,13,827.92,kleppesto,laksevag,9,28.2,False,False
0_00050,0,valle,13,829.82,bryggen,kleppesto,8,13.4,True,False
0_00051,0,valle,14,851.85,bryggen,kleppesto,6,13.7,True,False
0_00043,0,valle,14,860.71,laksevag,kleppesto,9,30.4,False,False
0_00042,0,valle,14,891.4,laksevag,kleppesto,10,28.4,False,False
0_00047,0,valle,14,893.1,laksevag,bryggen,8,10.7,True,False
0_00086,0,tarde,15,900.59,bryggen,laksevag,8,15.6,True,False
0_00079,0,tarde,15,903.82,bryggen,kleppesto,7,10.2,True,False
0_00078,0,tarde,15,908.05,bryggen,kleppesto,7,12.0,True,False
0_00069,0,tarde,15,911.18,laksevag,kleppesto,8,27.1,False,False
0_00103,0,tarde,15,911.26,sandviken,bryggen,11,14.1,True,False
0_00095,0,tarde,15,913.16,bryggen,sandviken,6,15.9,True,False
0_00068,0,tarde,15,920.04,laksevag,kleppesto,7,34.7,False,False
0_00094,0,tarde,15,924.39,bryggen,sandviken,13,12.3,True,False
0_00080,0,tarde,15,926.73,bryggen,kleppesto,7,14.7,True,False
0_00076,0,tarde,15,929.75,bryggen,kleppesto,11,11.9,True,False
0_00081,0,tarde,15,934.94,bryggen,kleppesto,9,18.0,True,False
