par,generadas,atendidas,sin_atender_al_final,pct_atendidas,espera_media_min,espera_maxima_min,viaje_medio_min,sistema_medio_min,sistema_maximo_min
kleppesto->laksevag,315,315,0,100.0,11.045873015873012,26.730000000000018,6.0,17.045873015873013,32.73000000000002
kleppesto->bryggen,786,780,6,99.23664122137404,8.375089743589745,26.160000000000025,12.0,20.375089743589747,38.160000000000025
kleppesto->sandviken,109,109,0,100.0,11.12275229357799,25.74000000000001,10.0,21.122752293577992,35.74000000000001
laksevag->kleppesto,385,385,0,100.0,10.64270129870131,51.120000000000005,6.0,16.642701298701308,57.120000000000005
laksevag->bryggen,719,712,7,99.02642559109874,11.382247191011228,34.660000000000025,10.0,21.38224719101123,44.660000000000025
laksevag->sandviken,194,194,0,100.0,12.57886597938145,40.77999999999997,10.0,22.578865979381447,50.77999999999997
bryggen->kleppesto,944,944,0,100.0,9.053495762711869,29.75999999999999,12.0,21.05349576271187,41.75999999999999
bryggen->laksevag,615,605,10,98.3739837398374,10.094743801652887,31.840000000000032,10.0,20.094743801652886,41.84000000000003
bryggen->sandviken,567,567,0,100.0,8.826155202821866,27.83000000000004,8.0,16.826155202821866,35.83000000000004
sandviken->kleppesto,174,174,0,100.0,10.189999999999989,23.75999999999999,10.0,20.18999999999999,33.75999999999999
sandviken->laksevag,82,82,0,100.0,10.564146341463415,25.899999999999977,10.0,20.564146341463413,35.89999999999998
sandviken->bryggen,539,539,0,100.0,11.302523191094616,41.940000000000055,8.0,19.30252319109462,49.940000000000055
