grupo_id,dia,franja,hora,minuto_dia,origen,destino,tamano_grupo,espera_maxima_min,conexion_fuerte,fin_de_semana
escalon_1_00013,escalon_1,manana,6,366.87,laksevag,bryggen,10,13.0,True,False
escalon_1_00012,escalon_1,manana,6,368.39,laksevag,bryggen,9,15.6,True,False
escalon_1_00020,escalon_1,manana,6,378.36,sandviken,bryggen,6,17.6,True,False
escalon_1_00011,escalon_1,manana,6,394.12,laksevag,bryggen,8,15.5,True,False
escalon_1_00021,escalon_1,manana,6,394.75,sandviken,bryggen,11,17.2,True,False
escalon_1_00005,escalon_1,manana,6,397.9,kleppesto,bryggen,8,18.9,True,False
escalon_1_00014,escalon_1,manana,6,400.1,laksevag,bryggen,9,10.3,True,False
escalon_1_00019,escalon_1,manana,6,401.98,sandviken,kleppesto,7,34.7,False,False
escalon_1_00004,escalon_1,manana,6,409.66,kleppesto,bryggen,10,19.7,True,False
escalon_1_00001,escalon_1,manana,6,411.52,kleppesto,laksevag,10,25.9,False,False
escalon_1_00006,escalon_1,manana,7,422.63,kleppesto,bryggen,10,19.7,True,False
escalon_1_00023,escalon_1,manana,7,425.07,sandviken,bryggen,4,13.3,True,False
escalon_1_00002,escalon_1,manana,7,427.69,kleppesto,laksevag,8,31.4,False,False
escalon_1_00007,escalon_1,manana,7,429.26,kleppesto,bryggen,10,13.3,True,False
escalon_1_00017,escalon_1,manana,7,429.68,bryggen,laksevag,9,11.5,True,False
escalon_1_00016,escalon_1,manana,7,444.38,bryggen,kleppesto,11,11.7,True,False
escalon_1_00015,escalon_1,manana,7,444.51,laksevag,bryggen,11,12.3,True,False
escalon_1_00003,escalon_1,manana,7,447.02,kleppesto,laksevag,12,33.2,False,False
escalon_1_00022,escalon_1,manana,7,458.99,sandviken,bryggen,8,14.9,True,False
escalon_1_00008,escalon_1,manana,8,487.8,kleppesto,bryggen,7,14.4,True,False
escalon_1_00018,escalon_1,manana,8,502.86,bryggen,laksevag,7,16.3,True,False
escalon_1_00010,escalon_1,manana,8,503.25,kleppesto,sandviken,7,31.8,False,False
escalon_1_00009,escalon_1,manana,8,508.54,kleppesto,bryggen,10,18.3,True,False
