par,generadas,atendidas,perdidas,pct_cumplimiento,espera_media_min,espera_maxima_min,viaje_medio_min,sistema_medio_min,sistema_maximo_min
kleppesto->laksevag,30,30,0,100.0,17.168000000000013,24.480000000000018,6.0,23.168000000000013,30.480000000000018
kleppesto->bryggen,55,55,0,100.0,11.00545454545455,18.100000000000023,12.0,23.005454545454548,30.100000000000023
kleppesto->sandviken,7,7,0,100.0,0.75,0.75,10.0,10.75,10.75
laksevag->kleppesto,0,0,0,,,,,,
laksevag->bryggen,47,47,0,100.0,8.432340425531914,13.879999999999995,10.0,18.432340425531912,23.879999999999995
laksevag->sandviken,0,0,0,,,,,,
bryggen->kleppesto,11,11,0,100.0,7.6200000000000045,7.6200000000000045,12.0,19.620000000000005,19.620000000000005
bryggen->laksevag,16,7,9,43.75,7.42874999999999,12.319999999999993,10.0,11.80374999999999,12.319999999999993
bryggen->sandviken,0,0,0,,,,,,
sandviken->kleppesto,7,7,0,100.0,24.019999999999982,24.019999999999982,10.0,34.01999999999998,34.01999999999998
sandviken->laksevag,0,0,0,,,,,,
sandviken->bryggen,29,17,12,58.62068965517241,9.082413793103443,15.009999999999991,8.0,13.772068965517237,19.639999999999986
