#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-1866.284912,90,3.679461
-1754.769469,90,3.939755
-3986.033702,90,4.295174
-3287.261927,90,4.684602
-4017.223304,90,5.078037
-2421.322796,90,5.443468
-1022.585934,90,5.803959
-2689.695233,90,6.174244
-3417.899706,90,6.545501
-3664.67961,90,6.888366
-1576.928454,90,7.263566
-3648.40045,90,7.574688
-2733.386975,90,7.906811
-1126.386786,90,8.224635
-2465.234541,90,8.519773
-2202.800129,90,8.878507
-3053.51318,90,9.248278
-1644.549751,90,9.54685
-2095.560903,90,9.789215
-4338.534126,90,10.425429
-4261.747815,90,11.044959
-6032.172832,90,11.685844
-2900.726967,90,14.073767
-5300.958508,90,14.460083
-2768.849477,90,14.813689
-2102.543442,90,15.247682
-2311.925967,90,15.632689
-4045.784671,90,16.057115
-2970.954431,90,16.491929
-750.491656,90,16.77456
-2942.127047,90,17.097492
-3485.57803,90,17.44109
-1505.831766,90,17.858854
-3298.859398,90,18.250859
-3620.546573,90,18.596488
-3980.154748,90,19.007639
-3531.202056,90,19.412242
-7215.180262,90,19.900863
-3562.058524,90,20.443599
-3182.128941,90,20.929184
-2337.004151,90,21.348491
-3362.913114,90,21.710353
-2811.386492,90,22.192428
-2241.559863,90,22.632453
-4346.214952,90,23.139106
-6323.517444,90,25.336969
-4723.330995,90,25.803187
-2433.625763,90,26.305602
-1911.037182,90,26.684094
-3038.352555,90,26.945792
-452.052529,90,27.163792
-4346.324138,90,27.535603
-3260.159915,90,27.772312
-3870.312739,90,28.122009
-1469.532751,90,28.42559
-2725.251205,90,28.71901
-2896.795537,90,29.082181
-2087.116367,90,29.504313
-2544.148162,90,29.850815
-2413.278861,90,30.271768
-2723.942432,90,30.622297
-2111.494355,90,30.870874
-1675.73351,90,31.271726
-2061.931306,90,31.636539
-3101.659824,90,32.010686
-2978.606437,90,32.321576
-2893.493538,90,32.664169
-3353.346358,90,33.061349
-2117.702053,90,35.104949
-939.446841,90,35.32173
-2837.780153,90,35.738274
-1727.180824,90,36.079505
-5481.541209,90,36.418242
-4139.161898,90,36.808119
-2815.54065,90,37.11284
-2399.129839,90,37.413336
-2453.107685,90,37.809713
-2881.555744,90,38.090433
-952.264938,90,38.435771
-2530.043947,90,38.728415
-2354.1124,90,39.118669
-1749.811425,90,39.438087
-7071.584587,90,39.804006
-1324.618871,90,40.072331
-2531.189991,90,40.555765
-1524.843901,90,40.868647
-5807.586217,90,41.278893
-3790.655984,90,41.599829
-4122.249298,90,41.984708
-2238.379065,90,42.348178
-5420.880229,90,42.69291
-4097.650216,90,44.411921
-1069.949465,90,44.805533
-3377.817004,90,45.238629
-1789.276621,90,45.523547
-2723.366044,90,45.792579
-1851.821764,90,46.016503
-1244.469074,90,46.320557
-2900.261971,90,46.6235
-2015.332553,90,47.0214
