#{"t_start": 1788364510.6140964, "env_id": "None"}
r,l,t
-7690.282391,90,2.825916
-8763.325656,90,3.029464
-10071.397316,90,3.322977
-5868.351573,90,3.609711
-6526.914068,90,3.897258
-13249.662426,90,4.223171
-8605.827474,90,4.505617
-8717.206602,90,4.817215
-7842.810568,90,5.151474
-8184.107882,90,5.438021
-9446.519653,90,5.752781
-5641.971406,90,6.007148
-10060.792787,90,6.287435
-9664.373578,90,6.55741
-10159.847789,90,6.84815
-12709.489429,90,7.159689
-10269.895844,90,7.401569
-9142.143976,90,7.654022
-4643.258181,90,7.877904
-10293.607106,90,8.148747
-4832.829218,90,8.588221
-10007.976117,90,9.129086
-9632.180153,90,10.825397
-10028.955067,90,11.142092
-7701.651127,90,11.391677
-7803.712173,90,11.67045
-8314.458978,90,11.990783
-11980.373035,90,12.35588
-6290.634634,90,12.627155
-8843.632558,90,12.875797
-5431.179376,90,13.109996
-6022.764731,90,13.353085
-5452.400781,90,13.580494
-8556.91322,90,13.847232
-7250.125707,90,14.090002
-11065.633564,90,14.445724
-11516.449515,90,14.83674
-5724.867915,90,15.122208
-6969.719415,90,15.393282
-9090.617073,90,15.670667
-12947.151862,90,15.986849
-11360.390474,90,16.306565
-8577.497009,90,16.618685
-14158.815155,90,16.948646
-10917.255477,90,17.226918
-9573.074557,90,18.591515
-10856.286574,90,18.903956
-6873.652465,90,19.293121
-4507.613898,90,19.664189
-6309.221377,90,19.974569
-9227.31016,90,20.23799
-7411.514682,90,20.474352
-6317.176445,90,20.759842
-10708.183858,90,21.09701
-9405.972771,90,21.356002
-5406.68658,90,21.552186
-11855.509902,90,21.864599
-12070.143847,90,22.199766
-9311.705696,90,22.470748
-8812.503197,90,22.842893
-15218.905938,90,23.184732
-8042.433204,90,23.49357
-5443.381145,90,23.772789
-10405.193757,90,24.113462
-10536.511369,90,24.440254
-9248.833699,90,24.758976
-5011.230841,90,24.998396
-10883.540348,90,25.382975
-10788.19919,90,26.82493
-9526.532262,90,27.126727
-7159.15972,90,27.431432
-9732.179901,90,27.752335
-7123.692531,90,27.996384
-8946.306957,90,28.279765
-10556.285496,90,28.58102
-8348.38282,90,28.85942
-7921.770573,90,29.140203
-10608.827842,90,29.430305
-9383.925311,90,29.696904
-8601.925131,90,29.991181
-12843.952726,90,30.319381
-9625.411755,90,30.636215
-5806.408222,90,30.8852
-7212.913277,90,31.136973
-12543.052178,90,31.431741
-5984.924499,90,31.66281
-5015.377785,90,31.903688
-12382.818925,90,32.252381
-7692.652069,90,32.484304
-8381.636783,90,32.791083
-9057.628892,90,33.065672
-5923.054452,90,34.656927
-9732.888718,90,35.018516
-8746.364406,90,35.366382
-7244.106575,90,35.622759
-7817.415756,90,35.8735
-6398.342247,90,36.237992
-8333.856893,90,36.578369
-8710.079397,90,36.952482
-11058.691406,90,37.310884
-8239.054664,90,37.63671
-7152.682337,90,37.919259
-9455.443363,90,38.192936
-14398.31274,90,38.565629
-6017.528662,90,38.844035
-6546.631859,90,39.109708
-8168.747917,90,39.405485
-8846.771429,90,39.710611
-8213.165678,90,39.961284
-7364.555042,90,40.197053
-11022.245299,90,40.484955
-13040.64743,90,40.838746
-12049.005296,90,41.161292
-8606.034821,90,42.572482
-11318.812331,90,42.912573
-3965.009639,90,43.167938
-7460.049409,90,43.442695
-9458.774206,90,43.732916
-8958.98678,90,44.009666
-3383.883409,90,44.247613
-11444.708713,90,44.5583
-10429.062527,90,44.973226
-11728.255545,90,45.297512
-9305.362589,90,45.577018
-10149.506315,90,45.835747
-7434.186868,90,46.090958
-10997.577823,90,46.345273
-13909.043765,90,46.694531
-12222.478403,90,47.028824
-5653.419488,90,47.283708
-10643.693052,90,47.618107
-9319.248373,90,47.913523
-5670.177854,90,48.175248
-11087.807963,90,48.480615
-7282.229977,90,48.723074
-8263.199285,90,49.037677
-9618.047906,90,50.386572
-9224.891044,90,50.731527
-8885.07702,90,51.065676
-5503.710489,90,51.463962
-13350.926986,90,51.926685
-9752.917503,90,52.317347
-6315.599373,90,52.565356
-10206.29813,90,52.98981
-9621.477575,90,53.278757
-5490.723752,90,53.586865
-8654.630545,90,53.872977
-8051.450921,90,54.144008
-7880.20109,90,54.43215
-5039.002776,90,54.702998
-3869.45764,90,54.951251
-7540.839842,90,55.207775
-7477.037161,90,55.433695
-8733.249396,90,55.751074
-11888.85069,90,56.12724
-11092.371914,90,56.401898
-6905.866486,90,56.685248
-11938.780233,90,56.980777
-8083.157247,90,57.227676
-9989.071089,90,58.544166
-9126.722904,90,58.893493
-9220.760437,90,59.213181
-9447.249915,90,59.541955
-8905.810471,90,59.822926
-7520.12209,90,60.186977
-7389.635427,90,60.458078
-9699.174913,90,60.779184
-7667.433323,90,61.034098
-10352.254636,90,61.364603
-3904.395867,90,61.629606
-4098.385493,90,61.863785
-5530.483657,90,62.099648
-7927.89686,90,62.336441
-11512.997968,90,62.658584
-8539.389044,90,62.936341
-13119.37586,90,63.333701
-6019.587446,90,63.668834
-11396.61256,90,63.955268
-11555.603594,90,64.323843
-9447.375634,90,64.643915
-10073.322479,90,64.94467
-8818.626303,90,65.253758
-9698.212872,90,67.34941
-10195.477461,90,67.719823
-3479.255411,90,67.979192
-10102.43305,90,68.266676
-4559.391502,90,68.491455
-9671.768871,90,68.78252
-9930.359408,90,69.097224
-11795.07685,90,69.405869
-10733.246142,90,69.712912
-9004.587273,90,70.00551
-8552.37206,90,70.286043
-6880.660267,90,70.670471
-9197.2786,90,71.164435
-9441.937366,90,71.661658
-9819.079404,90,72.023214
-10213.893749,90,72.536643
-10456.845129,90,73.025371
-3328.098016,90,73.679124
-4787.916174,90,74.17559
-7335.557375,90,74.644584
-6934.563655,90,74.938473
-8895.821267,90,75.253416
-8478.860656,90,76.818995
-8022.630969,90,77.146406
-7024.342697,90,77.400458
-10216.680519,90,77.68943
-6284.725753,90,77.961988
-9663.069685,90,78.239352
-6100.159986,90,78.566641
-8623.137401,90,78.949942
-15067.581985,90,79.4577
-10092.130033,90,79.811991
-6635.241673,90,80.067467
-9647.201745,90,80.421081
-9958.774536,90,80.72499
-6556.121534,90,81.008735
-6660.082729,90,81.300728
-9506.104518,90,81.595996
-10227.647984,90,81.929756
-10753.867952,90,82.282887
-9210.666541,90,82.521273
-11316.904021,90,82.790007
-5957.889731,90,83.18525
-7579.51002,90,83.41943
-13157.163864,90,83.704295
